DIA,2018-11-30,253.10,255.84,252.83,255.51,254.73,Stay Long
FFTY,2018-11-30,30.58,30.88,30.58,30.72,30.72,PullingBack
GLD,2018-11-30,115.42,115.66,115.04,115.54,115.41,PullingBack
IWM,2018-11-30,151.46,152.86,151.08,152.62,152.19,PullingBack
QQQ,2018-11-30,168.38,169.47,167.54,169.37,168.79,Stay Long
RTH,2018-11-30,102.94,103.63,102.88,103.52,103.34,PullingBack
SLV,2018-11-30,13.30,13.32,13.20,13.32,13.28,PullingBack
SPY,2018-11-30,273.81,276.28,273.45,275.65,275.13,PullingBack
XLB,2018-11-30,54.09,54.77,54.03,54.61,54.47,PullingBack
XLC,2018-11-30,45.16,45.16,44.64,45.01,44.94,Stay Long
XLE,2018-11-30,65.65,66.30,65.32,66.11,65.91,Stay Long
XLF,2018-11-30,26.75,27.08,26.71,26.97,26.92,PullingBack
XLI,2018-11-30,71.76,72.65,71.60,72.54,72.26,PullingBack
XLK,2018-11-30,67.34,67.99,67.01,67.94,67.65,PullingBack
XLP,2018-11-30,55.89,56.40,55.75,56.26,56.14,PullingBack
XLU,2018-11-30,54.91,55.64,54.77,55.59,55.33,PullingBack
XLV,2018-11-30,93.90,95.87,93.80,95.87,95.18,PullingBack
XLY,2018-11-30,107.17,108.10,106.88,107.99,107.66,PullingBack
