Symbol,Date,Open,High,Low,Close,Pivot,Trend
SLV,2018-11-30,13.43,13.53,13.20,13.32,13.35,Pullback
DIA,2018-11-30,244.87,255.84,244.14,255.51,251.83,Stay Long
FFTY,2018-11-30,29.49,30.88,29.25,30.72,30.28,Stay Long
GLD,2018-11-30,115.84,116.24,114.59,115.54,115.46,Stay Long
IWM,2018-11-30,149.32,152.86,147.70,152.62,151.06,Stay Long
QQQ,2018-11-30,161.44,169.47,160.76,169.37,166.53,Stay Long
RTH,2018-11-30,98.83,103.63,98.45,103.52,101.87,Stay Long
SPY,2018-11-30,265.78,276.28,265.34,275.65,272.42,Stay Long
XLB,2018-11-30,53.77,54.78,52.68,54.61,54.02,Stay Long
XLC,2018-11-30,43.39,45.31,43.28,45.01,44.53,Stay Long
XLE,2018-11-30,64.38,66.76,64.22,66.11,65.70,Stay Long
XLF,2018-11-30,26.27,27.08,26.26,26.97,26.77,Stay Long
XLI,2018-11-30,70.27,72.65,69.43,72.54,71.54,Stay Long
XLK,2018-11-30,64.92,67.99,64.58,67.94,66.84,Stay Long
XLP,2018-11-30,54.87,56.40,54.59,56.26,55.75,Stay Long
XLU,2018-11-30,54.17,55.64,53.88,55.59,55.04,Stay Long
XLV,2018-11-30,90.36,95.87,89.88,95.87,93.87,Stay Long
XLY,2018-11-30,103.31,108.10,103.14,107.99,106.41,Stay Long
