AAPL,2018-11-30,180.29,180.33,177.03,178.58,178.65,PullingBack
AEO,2018-11-30,20.56,21.13,20.56,20.93,20.87,PullingBack
AMD,2018-11-30,21.30,21.36,20.52,21.30,21.06,PullingBack
BJ,2018-11-30,22.90,23.41,22.67,23.36,23.15,PullingBack
CTRL,2018-11-30,21.45,21.87,21.26,21.77,21.63,PullingBack
ETSY,2018-11-30,52.80,55.14,52.80,54.04,53.99,Stay Long
FIVE,2018-11-30,105.78,106.39,103.03,104.79,104.74,PullingBack
GRUB,2018-11-30,79.57,80.92,77.36,78.29,78.86,PullingBack
HAL,2018-11-30,31.59,31.62,30.95,31.43,31.33,PullingBack
IQ,2018-11-30,18.90,20.39,18.90,20.31,19.87,Stay Long
KEM,2018-11-30,21.23,21.23,19.80,20.48,20.50,PullingBack
MOMO,2018-11-30,30.50,31.65,30.25,31.35,31.08,PullingBack
MSFT,2018-11-30,110.70,110.97,109.36,110.89,110.41,PullingBack
MU,2018-11-30,37.75,38.63,36.94,38.56,38.04,PullingBack
OLLI,2018-11-30,89.75,90.23,88.55,88.70,89.16,PullingBack
PLNT,2018-11-30,55.86,56.24,54.62,55.22,55.36,PullingBack
SQ,2018-11-30,69.40,70.68,68.40,69.84,69.64,PullingBack
SUPN,2018-11-30,45.10,47.44,44.58,47.42,46.48,Stay Long
TEAM,2018-11-30,84.28,87.00,84.06,85.94,85.67,PullingBack
TLRY,2018-11-30,106.42,107.19,100.57,102.45,103.40,PullingBack
TWTR,2018-11-30,31.15,31.55,30.11,31.45,31.04,PullingBack
VNOM,2018-11-30,29.50,30.39,29.32,30.03,29.91,Stay Long
