AAPL,2018-11-30,219.05,222.36,170.26,178.58,190.40,PullingBack
AEO,2018-11-30,22.15,23.10,18.51,20.93,20.85,PullingBack
AMD,2018-11-30,18.41,22.22,17.18,21.30,20.23,Stay Long
BJ,2018-11-30,22.38,24.83,19.31,23.36,22.50,Stay Long
CTRL,2018-11-30,28.02,29.24,19.71,21.77,23.57,PullingBack
ETSY,2018-11-30,42.45,55.71,39.88,54.04,49.88,Stay Long
FIVE,2018-11-30,114.30,125.75,100.28,104.79,110.27,PullingBack
GRUB,2018-11-30,92.25,96.80,73.72,78.29,82.94,PullingBack
HAL,2018-11-30,34.90,36.51,30.47,31.43,32.80,PullingBack
IQ,2018-11-30,20.05,22.80,18.49,20.31,20.53,PullingBack
KEM,2018-11-30,22.00,23.13,17.97,20.48,20.53,PullingBack
MOMO,2018-11-30,34.09,37.25,28.76,31.35,32.45,PullingBack
MSFT,2018-11-30,107.05,112.24,99.35,110.89,107.49,Stay Long
MU,2018-11-30,37.98,41.43,34.05,38.56,38.01,PullingBack
OLLI,2018-11-30,93.65,95.00,81.66,88.70,88.45,PullingBack
PLNT,2018-11-30,49.38,57.66,46.89,55.22,53.26,Stay Long
SQ,2018-11-30,74.01,83.00,55.37,69.84,69.40,PullingBack
SUPN,2018-11-30,47.84,48.40,39.67,47.42,45.16,Stay Long
TEAM,2018-11-30,76.67,87.00,65.17,85.94,79.37,Stay Long
TLRY,2018-11-30,99.75,142.84,93.08,102.45,112.79,PullingBack
TWTR,2018-11-30,34.60,35.35,29.87,31.45,32.22,PullingBack
VNOM,2018-11-30,36.40,36.65,27.39,30.03,31.36,PullingBack
