AAPL,11/30/18,174.24,182.8,170.26,178.58,177.21,Stay Long
AEO,11/30/18,20.13,22.04,20.06,20.93,21.01,PullingBack
AMD,11/30/18,19.96,21.88,19.11,21.3,20.76,Stay Long
BJ,11/30/18,21.96,23.9,21.51,23.36,22.92,Stay Long
CTRL,11/30/18,21.34,21.92,20.59,21.77,21.43,PullingBack
ETSY,11/30/18,46.03,55.14,45.24,54.04,51.47,Stay Long
FIVE,11/30/18,103.55,107.44,100.42,104.79,104.22,PullingBack
GRUB,11/30/18,80.24,81.77,75.78,78.29,78.61,PullingBack
HAL,11/30/18,31.1,32.36,30.95,31.43,31.58,PullingBack
IQ,11/30/18,20.09,20.45,18.9,20.31,19.89,Stay Long
KEM,11/30/18,19.82,21.34,19.05,20.48,20.29,PullingBack
MOMO,11/30/18,32.31,32.31,29.15,31.35,30.94,Stay Long
MSFT,11/30/18,104.79,111.33,104.58,110.89,108.93,Stay Long
MU,11/30/18,37.75,39,35.53,38.56,37.7,Stay Long
OLLI,11/30/18,85.05,91.38,84.4,88.7,88.16,PullingBack
PLNT,11/30/18,53.6,57.31,53.13,55.22,55.22,PullingBack
SQ,11/30/18,64.8,70.72,63.78,69.84,68.11,Stay Long
SUPN,11/30/18,43.45,47.44,42.3,47.42,45.72,Stay Long
TEAM,11/30/18,73.69,87,72.77,85.94,81.9,Stay Long
TLRY,11/30/18,120,120.4,100.57,102.45,107.81,PullingBack
TWTR,11/30/18,31.6,33.1,29.87,31.45,31.47,PullingBack
VNOM,11/30/18,29.3,30.39,27.39,30.03,29.27,Stay Long
